x_axis,y_axis,heading,rotation,time
2.05,0.59,0.772645827158201,0,2
2.05,0.59,1.5452916543164,0,4
2.05,0.59,1.5452916543164,0,6
2.05294117647059,0.705294117647059,1.5452916543164,1,8
2.05588235294118,0.820588235294118,1.5452916543164,1,10
2.05882352941176,0.935882352941176,1.5452916543164,1,12
2.06176470588235,1.05117647058824,1.5452916543164,1,14
2.06470588235294,1.16647058823529,1.5452916543164,1,16
2.06764705882353,1.28176470588235,1.5452916543164,1,18
2.07058823529412,1.39705882352941,1.5452916543164,1,20
2.07352941176471,1.51235294117647,1.5452916543164,1,22
2.07647058823529,1.62764705882353,1.5452916543164,1,24
2.07941176470588,1.74294117647059,1.5452916543164,1,26
2.08235294117647,1.85823529411765,1.5452916543164,1,28
2.08529411764706,1.97352941176471,1.5452916543164,1,30
2.08823529411765,2.08882352941176,1.5452916543164,1,32
2.09117647058824,2.20411764705882,1.5452916543164,1,34
2.09411764705882,2.31941176470588,1.5452916543164,1,36
2.09705882352941,2.43470588235294,1.5452916543164,1,38
2.1,2.55,1.5452916543164,1,40
2.1,2.55,1.5452916543164,1,42
2.1,2.55,0.785398163397449,0,44
2.1,2.55,0.785398163397449,0,46
2.175,2.625,0.785398163397449,1,48
2.25,2.7,0.785398163397449,1,50
2.325,2.775,0.785398163397449,1,52
2.4,2.85,0.785398163397449,1,54
2.4,2.85,0.785398163397449,1,56
2.4,2.85,0.392699081698725,0,58
2.4,2.85,0,0,60
2.4,2.85,0,0,62
2.475,2.85,0,1,64
2.55,2.85,0,1,66
2.55,2.85,0,1,68
2.55,2.85,-0.321750554396642,0,70
2.55,2.85,-0.321750554396642,0,72
2.6625,2.8125,-0.321750554396642,1,74
2.775,2.775,-0.321750554396642,1,76
2.8875,2.7375,-0.321750554396642,1,78
3,2.7,-0.321750554396642,1,80
3,2.7,-0.321750554396642,1,82
3,2.7,-0.907593334088804,0,84
3,2.7,-0.907593334088804,0,86
3.0625,2.62,-0.907593334088804,1,88
3.125,2.54,-0.907593334088804,1,90
3.1875,2.46,-0.907593334088804,1,92
3.25,2.38,-0.907593334088804,1,94
3.25,2.38,-0.907593334088804,1,96
3.25,2.38,-0.232729002809038,0,98
3.25,2.38,0.442135328470729,0,100
3.25,2.38,1.11699965975049,0,102
3.25,2.38,1.79186399103026,0,104
3.25,2.38,2.46672832231003,0,106
3.25,2.38,3.14159265358979,0,108
3.25,2.38,3.14159265358979,0,110
