x_axis,y_axis,heading,rotation,time
1.2,0.35,-0.785398163397448,0,2
1.2,0.35,0,0,4
1.2,0.35,0.785398163397448,0,6
1.2,0.35,1.5707963267949,0,8
1.2,0.35,1.5707963267949,0,10
1.2,0.469166666666667,1.5707963267949,1,12
1.2,0.588333333333333,1.5707963267949,1,14
1.2,0.7075,1.5707963267949,1,16
1.2,0.826666666666667,1.5707963267949,1,18
1.2,0.945833333333333,1.5707963267949,1,20
1.2,1.065,1.5707963267949,1,22
1.2,1.18416666666667,1.5707963267949,1,24
1.2,1.30333333333333,1.5707963267949,1,26
1.2,1.4225,1.5707963267949,1,28
1.2,1.54166666666667,1.5707963267949,1,30
1.2,1.66083333333333,1.5707963267949,1,32
1.2,1.78,1.5707963267949,1,34
1.2,1.89916666666667,1.5707963267949,1,36
1.2,2.01833333333333,1.5707963267949,1,38
1.2,2.1375,1.5707963267949,1,40
1.2,2.25666666666667,1.5707963267949,1,42
1.2,2.37583333333333,1.5707963267949,1,44
1.2,2.495,1.5707963267949,1,46
1.2,2.61416666666667,1.5707963267949,1,48
1.2,2.73333333333333,1.5707963267949,1,50
1.2,2.8525,1.5707963267949,1,52
1.2,2.97166666666667,1.5707963267949,1,54
1.2,3.09083333333333,1.5707963267949,1,56
1.2,3.21,1.5707963267949,1,58
1.2,3.21,1.5707963267949,1,60
1.2,3.21,0.785398163397448,0,62
1.2,3.21,0,0,64
1.2,3.21,-0.785398163397448,0,66
1.2,3.21,-1.5707963267949,0,68
1.2,3.21,-1.5707963267949,0,70
