x_axis,y_axis,heading,rotation,time
1.2,1.78,-0.785398163397448,0,2
1.2,1.78,-1.5707963267949,0,4
1.2,1.78,-1.5707963267949,0,6
1.2,1.66083333333333,-1.5707963267949,1,8
1.2,1.54166666666667,-1.5707963267949,1,10
1.2,1.4225,-1.5707963267949,1,12
1.2,1.30333333333333,-1.5707963267949,1,14
1.2,1.18416666666667,-1.5707963267949,1,16
1.2,1.065,-1.5707963267949,1,18
1.2,0.945833333333333,-1.5707963267949,1,20
1.2,0.826666666666667,-1.5707963267949,1,22
1.2,0.7075,-1.5707963267949,1,24
1.2,0.588333333333333,-1.5707963267949,1,26
1.2,0.469166666666667,-1.5707963267949,1,28
1.2,0.35,-1.5707963267949,1,30
1.2,0.35,-1.5707963267949,1,32
1.2,0.35,-1.5707963267949,0,34
