x_axis,y_axis,heading,rotation,time
2.05,0.59,0.628170104944538,0,2
2.05,0.59,1.25634020988908,0,4
2.05,0.59,1.88451031483361,0,6
2.05,0.59,1.88451031483361,0,8
2.01304347826087,0.703913043478261,1.88451031483361,1,10
1.97608695652174,0.817826086956522,1.88451031483361,1,12
1.93913043478261,0.931739130434783,1.88451031483361,1,14
1.90217391304348,1.04565217391304,1.88451031483361,1,16
1.86521739130435,1.1595652173913,1.88451031483361,1,18
1.82826086956522,1.27347826086957,1.88451031483361,1,20
1.79130434782609,1.38739130434783,1.88451031483361,1,22
1.75434782608696,1.50130434782609,1.88451031483361,1,24
1.71739130434783,1.61521739130435,1.88451031483361,1,26
1.6804347826087,1.72913043478261,1.88451031483361,1,28
1.64347826086957,1.84304347826087,1.88451031483361,1,30
1.60652173913043,1.95695652173913,1.88451031483361,1,32
1.5695652173913,2.07086956521739,1.88451031483361,1,34
1.53260869565217,2.18478260869565,1.88451031483361,1,36
1.49565217391304,2.29869565217391,1.88451031483361,1,38
1.45869565217391,2.41260869565217,1.88451031483361,1,40
1.42173913043478,2.52652173913043,1.88451031483361,1,42
1.38478260869565,2.6404347826087,1.88451031483361,1,44
1.34782608695652,2.75434782608696,1.88451031483361,1,46
1.31086956521739,2.86826086956522,1.88451031483361,1,48
1.27391304347826,2.98217391304348,1.88451031483361,1,50
1.23695652173913,3.09608695652174,1.88451031483361,1,52
1.2,3.21,1.88451031483361,1,54
1.2,3.21,1.88451031483361,1,56
1.2,3.21,1.19344898650791,0,58
1.2,3.21,0.502387658182209,0,60
1.2,3.21,-0.188673670143493,0,62
1.2,3.21,-0.879734998469195,0,64
1.2,3.21,-1.5707963267949,0,66
1.2,3.21,-1.5707963267949,0,68
