x_axis,y_axis,heading,rotation,time
1.2,1.78,-0.475273420406038,0,2
1.2,1.78,-0.950546840812075,0,4
1.2,1.78,-0.950546840812075,0,6
1.26538461538462,1.68846153846154,-0.950546840812075,1,8
1.33076923076923,1.59692307692308,-0.950546840812075,1,10
1.39615384615385,1.50538461538462,-0.950546840812075,1,12
1.46153846153846,1.41384615384615,-0.950546840812075,1,14
1.52692307692308,1.32230769230769,-0.950546840812075,1,16
1.59230769230769,1.23076923076923,-0.950546840812075,1,18
1.65769230769231,1.13923076923077,-0.950546840812075,1,20
1.72307692307692,1.04769230769231,-0.950546840812075,1,22
1.78846153846154,0.956153846153846,-0.950546840812075,1,24
1.85384615384615,0.864615384615385,-0.950546840812075,1,26
1.91923076923077,0.773076923076923,-0.950546840812075,1,28
1.98461538461538,0.681538461538462,-0.950546840812075,1,30
2.05,0.59,-0.950546840812075,1,32
2.05,0.59,-0.950546840812075,1,34
2.05,0.59,-0.475273420406038,0,36
2.05,0.59,0.0,0,38
2.05,0.59,0.0,0,40
