x_axis,y_axis,heading,rotation,time
1.2,3.21,-1.5707963267949,0,2
1.2,3.09083333333333,-1.5707963267949,1,4
1.2,2.97166666666667,-1.5707963267949,1,6
1.2,2.8525,-1.5707963267949,1,8
1.2,2.73333333333333,-1.5707963267949,1,10
1.2,2.61416666666667,-1.5707963267949,1,12
1.2,2.495,-1.5707963267949,1,14
1.2,2.37583333333333,-1.5707963267949,1,16
1.2,2.25666666666667,-1.5707963267949,1,18
1.2,2.1375,-1.5707963267949,1,20
1.2,2.01833333333333,-1.5707963267949,1,22
1.2,1.89916666666667,-1.5707963267949,1,24
1.2,1.78,-1.5707963267949,1,26
1.2,1.78,-1.5707963267949,1,28
1.2,1.78,-0.785398163397448,0,30
1.2,1.78,0,0,32
1.2,1.78,0,0,34
